#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Fishman A, Martinez F, Naunheim K. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K
2,"Naunheim KS, Wood DE, Mohsenifar Z. Long-term follow-up of patients receiving lung-volume-reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group. Ann Thorac Surg. 2006;82.",Long-term follow-up of patients receiving lung-volume-reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group,Ann Thorac Surg,2006,82,,,,,Naunheim KS; Wood DE; Mohsenifar Z
3,"Edwards MA, Hazelrigg S, Naunheim KS. The National Emphysema Treatment Trial: summary and update. Thorac Surg Clin. 2009;19.",The National Emphysema Treatment Trial: summary and update,Thorac Surg Clin,2009,19,,,,,Edwards MA; Hazelrigg S; Naunheim KS
4,"Decker MR, Leverson GE, Jaoude WA, Maloney JD. Lung volume reduction surgery since the National Emphysema Treatment Trial: study of Society of Thoracic Surgeons Database. J Thorac Cardiovasc Surg. 2014;148:2651.",Lung volume reduction surgery since the National Emphysema Treatment Trial: study of Society of Thoracic Surgeons Database,J Thorac Cardiovasc Surg,2014,148,,2651,,,Decker MR; Leverson GE; Jaoude WA; Maloney JD
5,"Sciurba FC, Ernst A, Herth FJ. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth FJ
6,"Criner GJ, Sue R, Wright S. A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198.",A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,,,,,Criner GJ; Sue R; Wright S
7,"Valipour A, Slebos DJ, Herth F. Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT Study. Am J Respir Crit Care Med. 2016;194.",Endobronchial valve therapy in patients with homogeneous emphysema. Results from the IMPACT Study,Am J Respir Crit Care Med,2016,194,,,,,Valipour A; Slebos DJ; Herth F
8,"Gompelmann D, Benjamin N, Kontogianni K. Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves. Int J Chron Obstruct Pulmon Dis. 2016;11.",Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves,Int J Chron Obstruct Pulmon Dis,2016,11,,,,,Gompelmann D; Benjamin N; Kontogianni K
9,"Kemp SV, Slebos DJ, Kirk A. A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (TRANSFORM). Am J Respir Crit Care Med. 2017;196.",A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous Emphysema (TRANSFORM),Am J Respir Crit Care Med,2017,196,,,,,Kemp SV; Slebos DJ; Kirk A
10,"Gompelmann D, Gerovasili V, Kontogianni K. Endoscopic valve removal >180 days since implantation in patients with severe emphysema. Respiration. 2018;96.",Endoscopic valve removal >180 days since implantation in patients with severe emphysema,Respiration,2018,96,,,,,Gompelmann D; Gerovasili V; Kontogianni K
