#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Kochanek KD, Xu J, Murphy SL, Minino AM, Kung H. National vital statistics reports. National Vital Statistics Reports. 2011;59(4):1.",National vital statistics reports,National Vital Statistics Reports,2011,59,4,1,,,Kochanek KD; Xu J; Murphy SL; Minino AM; Kung H
2,"Brown DW, Croft JB, Greenlund KJ, Giles WH. Deaths from Chronic Obstructive Pulmonary Disease -United States, 2000-2005. Morbidity & Mortality Weekly Report. 2008;57(45).","Deaths from Chronic Obstructive Pulmonary Disease -United States, 2000-2005",Morbidity & Mortality Weekly Report,2008,57,45,,,19008792,Brown DW; Croft JB; Greenlund KJ; Giles WH
3, Trends in COPD (emphysema and chronic bronchitis): morbidity and mortality. Trends in COPD (emphysema and chronic bronchitis): morbidity and mortality. 2010;None.,Trends in COPD (emphysema and chronic bronchitis): morbidity and mortality,Trends in COPD (emphysema and chronic bronchitis): morbidity and mortality,2010,,,,,,
4,"Fishman A, Martinez F, Naunheim K, Piantadosi S, Wise R, Ries A. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,12759479,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A
5,"Naunheim KS, Wood DE, Mohsenifar Z, Sternberg AL, Criner GJ, Decamp MM. Long-term follow-up of patients receiving lung-volume-reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group. Ann Thorac Surg. 2006;82:431.",Long-term follow-up of patients receiving lung-volume-reduction surgery versus medical therapy for severe emphysema by the National Emphysema Treatment Trial Research Group,Ann Thorac Surg,2006,82,,431,,16888872,Naunheim KS; Wood DE; Mohsenifar Z; Sternberg AL; Criner GJ; Decamp MM
6,"Geddes D, Davies M, Koyama H, Hansell D, Pastorino U, Pepper J. Effect of lung-volumereduction surgery in patients with severe emphysema. N Engl J Med. 2000;343.",Effect of lung-volumereduction surgery in patients with severe emphysema,N Engl J Med,2000,343,,,,10911005,Geddes D; Davies M; Koyama H; Hansell D; Pastorino U; Pepper J
7,"Goldstein RS, Todd TR, Guyatt G, Keshavjee S, Dolmage TE, Van Rooy S. Influence of lung volume reduction surgery (LVRS) on health related quality of life in patients with chronic obstructive pulmonary disease. Thorax. 2003;58.",Influence of lung volume reduction surgery (LVRS) on health related quality of life in patients with chronic obstructive pulmonary disease,Thorax,2003,58,,,,12728160,Goldstein RS; Todd TR; Guyatt G; Keshavjee S; Dolmage TE; Van Rooy S
8,"Hillerdal G, Lofdahl CG, Strom K, Skoogh BE, Jorfeldt L, Nilsson F. Comparison of lung volume reduction surgery and physical training on health status and physiologic outcomes: a randomized controlled clinical trial. Chest. 2005;128.",Comparison of lung volume reduction surgery and physical training on health status and physiologic outcomes: a randomized controlled clinical trial,Chest,2005,128,,,,16304304,Hillerdal G; Lofdahl CG; Strom K; Skoogh BE; Jorfeldt L; Nilsson F
9,"Miller JD, Malthaner RA, Goldsmith CH, Goeree R, Higgins D, Cox PG. A randomized clinical trial of lung volume reduction surgery versus best medical care for patients with advanced emphysema: A two-year study from Canada. Discussion. Ann Thorac Surg. 2006;81.",A randomized clinical trial of lung volume reduction surgery versus best medical care for patients with advanced emphysema: A two-year study from Canada. Discussion,Ann Thorac Surg,2006,81,,,,16368389,Miller JD; Malthaner RA; Goldsmith CH; Goeree R; Higgins D; Cox PG
10,"Ramsey SD, Shroyer AL, Sullivan SD, Wood DE. Updated evaluation of the cost effectiveness of lung volume reduction surgery. Chest. 2007;131.",Updated evaluation of the cost effectiveness of lung volume reduction surgery,Chest,2007,131,,,,17356099,Ramsey SD; Shroyer AL; Sullivan SD; Wood DE
11, Morbidity and Mortality: 2009 Chart Book on Cardiovascular. Morbidity and Mortality: 2009 Chart Book on Cardiovascular. 2013;None.,Morbidity and Mortality: 2009 Chart Book on Cardiovascular,Morbidity and Mortality: 2009 Chart Book on Cardiovascular,2013,,,,,,
12,"Decamp MM, Blackstone EH, Naunheim KS, Krasna MJ, Wood DE, Meli YM. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;None.",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,,,,,,Decamp MM; Blackstone EH; Naunheim KS; Krasna MJ; Wood DE; Meli YM
13,"Naunheim KS, Wood DE, Krasna MJ et al.. Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial. J Thorac Cardiovasc Surg. 2006;131.",Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial,J Thorac Cardiovasc Surg,2006,131,,,,16399293,Naunheim KS; Wood DE; Krasna MJ; Decamp MM; Jr; Ginsburg ME; Mckenna RJ; Jr
14," STS General Thoracic Database, Data Collection Forms. STS General Thoracic Database, Data Collection Forms. 2013;None.","STS General Thoracic Database, Data Collection Forms","STS General Thoracic Database, Data Collection Forms",2013,,,,,,
15,"Kaplan RM, Atkins CJ, Timms R. Validity of a quality of well-being scale as an outcome measure in chronic obstructive pulmonary disease. J Chronic Dis. 1984;37.",Validity of a quality of well-being scale as an outcome measure in chronic obstructive pulmonary disease,J Chronic Dis,1984,37,,,,6420431,Kaplan RM; Atkins CJ; Timms R
16,"Jones PW, Quirk FH, Baveystock CM, Littlejohns P. A self-complete measure of health status for chronic airflow limitation: the St. George's Respiratory Questionnaire. Am Rev Respir Dis. 1992;145.",A self-complete measure of health status for chronic airflow limitation: the St. George's Respiratory Questionnaire,Am Rev Respir Dis,1992,145,,,,1595997,Jones PW; Quirk FH; Baveystock CM; Littlejohns P
17,"Boffa DJ, Gangadharan S, Kent M, Kerendi F, Onaitis M, Verrier E. Self-perceived videoassisted thoracic surgery lobectomy proficiency by recent graduates of North American thoracic residencies. Interact Cardiovasc Thorac Surg. 2012;14.",Self-perceived videoassisted thoracic surgery lobectomy proficiency by recent graduates of North American thoracic residencies,Interact Cardiovasc Thorac Surg,2012,14,,,,22381653,Boffa DJ; Gangadharan S; Kent M; Kerendi F; Onaitis M; Verrier E
18, # 7.01.71. Blue Cross Blue Shield Association policy. 2013;None.,# 7.01.71,Blue Cross Blue Shield Association policy,2013,,,,,,
19,Aetna SM. Clinical Policy Bulletin: Lung Volume Reduction Surgery. Clinical Policy Bulletin: Lung Volume Reduction Surgery. 2013;None.,Clinical Policy Bulletin: Lung Volume Reduction Surgery,Clinical Policy Bulletin: Lung Volume Reduction Surgery,2013,,,,,,Aetna SM
20, Medicare National Coverage Determinations. Medicare National Coverage Determinations. None;None.,Medicare National Coverage Determinations,Medicare National Coverage Determinations,,,,,,,
21, Lung Volume Reduction Surgery. Lung Volume Reduction Surgery. 2013;None.,Lung Volume Reduction Surgery,Lung Volume Reduction Surgery,2013,,,,,,
22,"Choong CK, Meyers BF, Battafarano RJ, Guthrie TJ, Davis GE, Patterson GA. Lung cancer resection combined with lung volume reduction in patients with severe emphysema. J Thorac Cardiovasc Surg. 2004;127(5).",Lung cancer resection combined with lung volume reduction in patients with severe emphysema,J Thorac Cardiovasc Surg,2004,127,5,,,15115989,Choong CK; Meyers BF; Battafarano RJ; Guthrie TJ; Davis GE; Patterson GA
23, Physician Quality Reporting System. Physician Quality Reporting System. 2013;None.,Physician Quality Reporting System,Physician Quality Reporting System,2013,,,,,,
24,"Robertson TE, Sona C, Schallom L, Buckles M, Cracchiolo L, Schuerer D. Improved extubation rates and earlier liberation from mechanical ventilation with implementation of a daily spontaneous-breathing trial protocol. J Am Coll Surg. 2008;206(3).",Improved extubation rates and earlier liberation from mechanical ventilation with implementation of a daily spontaneous-breathing trial protocol,J Am Coll Surg,2008,206,3,,,18308220,Robertson TE; Sona C; Schallom L; Buckles M; Cracchiolo L; Schuerer D
25,"Cohen J, Shapiro M, Grozovski E, Fox B, Lev S, Singer P. Prediction of extubation outcome: a randomised, controlled trial with automatic tube compensation vs. pressure support ventilation. Crit Care. 2009;13(1):R21.","Prediction of extubation outcome: a randomised, controlled trial with automatic tube compensation vs. pressure support ventilation",Crit Care,2009,13,1,R21,,19236688,Cohen J; Shapiro M; Grozovski E; Fox B; Lev S; Singer P
26,"Kotloff RM, Tino G, Palevsky HI, Hansen-Flaschen J, Wahl PM, Kaiser LR. Comparison of short-term functional outcomes following unilateral and bilateral lung volume reduction surgery. CHEST. 1998;113(4).",Comparison of short-term functional outcomes following unilateral and bilateral lung volume reduction surgery,CHEST,1998,113,4,,,9554621,Kotloff RM; Tino G; Palevsky HI; Hansen-Flaschen J; Wahl PM; Kaiser LR
