#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Roodenburg SA, Hartman JE, Desl Ee G, Herth F, Klooster K, Sciurba FC. Bronchoscopic lung volume reduction coil treatment for severe emphysema: a systematic review and meta-analysis of individual participant data. Respiration. 2022;101.",Bronchoscopic lung volume reduction coil treatment for severe emphysema: a systematic review and meta-analysis of individual participant data,Respiration,2022,101,,,,,Roodenburg SA; Hartman JE; Desl Ee G; Herth F; Klooster K; Sciurba FC
2,"Klooster K, Valipour A, Marquette C, Boutros J, Mal H, Marceau A. Endobronchial coil system versus standard-of-care medical management in the treatment of subjects with severe emphysema. Respiration. 2021;100.",Endobronchial coil system versus standard-of-care medical management in the treatment of subjects with severe emphysema,Respiration,2021,100,,,,,Klooster K; Valipour A; Marquette C; Boutros J; Mal H; Marceau A
3,"Choong CK, Phan L, Massetti P, Haddad FJ, Martinez C, Roschak E. Prolongation of patency of airway bypass stents with use of drug-eluting stents. J Thorac Cardiovasc Surg. 2006;131.",Prolongation of patency of airway bypass stents with use of drug-eluting stents,J Thorac Cardiovasc Surg,2006,131,,,,,Choong CK; Phan L; Massetti P; Haddad FJ; Martinez C; Roschak E
4,"Lausberg HF, Chino K, Patterson GA, Meyers BF, Toeniskoetter PD, Cooper JD. Bronchial fenestration improves expiratory flow in emphysematous human lungs. Ann Thorac Surg. 2003;75.",Bronchial fenestration improves expiratory flow in emphysematous human lungs,Ann Thorac Surg,2003,75,,,,,Lausberg HF; Chino K; Patterson GA; Meyers BF; Toeniskoetter PD; Cooper JD
5,"Shah PL, Slebos D, Cardoso P, Cetti E, Voelker K, Levine B. EASE trial study group. Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, shamcontrolled, multicentre trial. Lancet. 2011;378.","EASE trial study group. Bronchoscopic lung-volume reduction with Exhale airway stents for emphysema (EASE trial): randomised, shamcontrolled, multicentre trial",Lancet,2011,378,,,,,Shah PL; Slebos D; Cardoso P; Cetti E; Voelker K; Levine B
6,"Criner GJ, Cordova F, Sternberg AL, Martinez FJ. The National Emphysema Treatment Trial (NETT) Part II: lessons learned about lung volume reduction surgery. Am J Respir Crit Care Med. 2011;184.",The National Emphysema Treatment Trial (NETT) Part II: lessons learned about lung volume reduction surgery,Am J Respir Crit Care Med,2011,184,,,,,Criner GJ; Cordova F; Sternberg AL; Martinez FJ
7,"Fishman A, Martinez F, Naunheim K, Piantadosi S, Wise R, Ries A. National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group. A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K; Piantadosi S; Wise R; Ries A
8,"Herth F, Valipour A, Shah PL, Eberhardt R, Grah C, Egan J. Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallelgroup, open-label, randomised controlled STEP-UP trial. Lancet Respir Med. 2016;4.","Segmental volume reduction using thermal vapour ablation in patients with severe emphysema: 6-month results of the multicentre, parallelgroup, open-label, randomised controlled STEP-UP trial",Lancet Respir Med,2016,4,,,,,Herth F; Valipour A; Shah PL; Eberhardt R; Grah C; Egan J
9,"Shah PL, Gompelmann D, Valipour A, Mcnulty WH, Eberhardt R, Grah C. Thermal vapour ablation to reduce segmental volume in patients with severe emphysema: STEP-UP 12 month results. Lancet Respir Med. 2016;4.",Thermal vapour ablation to reduce segmental volume in patients with severe emphysema: STEP-UP 12 month results,Lancet Respir Med,2016,4,,,,,Shah PL; Gompelmann D; Valipour A; Mcnulty WH; Eberhardt R; Grah C
10,"Criner GJ, Sue R, Wright S, Dransfield M, Rivas-Perez H, Wiese T. LIBERATE Study Group. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198.",LIBERATE Study Group. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,,,,,Criner GJ; Sue R; Wright S; Dransfield M; Rivas-Perez H; Wiese T
