#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions. An Official ATS/STS/STR clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Management of malignant pleural effusions. An Official ATS/STS/STR clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Feller-Kopman DJ; Reddy CB; Decamp MM
2,"Bibby AC, Dorn P, Psallidas I. ERS/EACTS statement on the management of malignant pleural effusions. Eur J Cardiothorac Surg. 2019;55.",ERS/EACTS statement on the management of malignant pleural effusions,Eur J Cardiothorac Surg,2019,55,,,,,Bibby AC; Dorn P; Psallidas I
3,"Muruganandan S, Azzopardi M, Fitzgerald DB. Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial. Lancet Respir Med. 2018;6.",Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural catheters (AMPLE-2): an open-label randomised trial,Lancet Respir Med,2018,6,,,,,Muruganandan S; Azzopardi M; Fitzgerald DB
4,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
5,"Murthy SC, Okereke I, Mason DP. A simple solution for complicated pleural effusions. J Thorac Oncol. 2006;1.",A simple solution for complicated pleural effusions,J Thorac Oncol,2006,1,,,,,Murthy SC; Okereke I; Mason DP
6,"Grosu HB, Lu W, Ost DE. Pleural fluid cytokine levels at baseline and over time are associated with time to IPC removal: an exploratory study. J Bronchol Interv Pulmonol. 2020;27.",Pleural fluid cytokine levels at baseline and over time are associated with time to IPC removal: an exploratory study,J Bronchol Interv Pulmonol,2020,27,,,,,Grosu HB; Lu W; Ost DE
7,"Dresler CM, Olak J, Herndon JE. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127.",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,,,,,Dresler CM; Olak J; Herndon JE
8,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318.",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,,,,,Thomas R; Fysh E; Smith NA
9,"Wahidi MM, Reddy C, Yarmus L. Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial. Am J Respir Crit Care Med. 2017;195.",Randomized trial of pleural fluid drainage frequency in patients with malignant pleural effusions. The ASAP trial,Am J Respir Crit Care Med,2017,195,,,,,Wahidi MM; Reddy C; Yarmus L
10,"Suzuki K, Servais EL, Rizk NP. Palliation and pleurodesis in malignant pleural effusion: the role for tunneled pleural catheters. J Thorac Oncol. 2011;6.",Palliation and pleurodesis in malignant pleural effusion: the role for tunneled pleural catheters,J Thorac Oncol,2011,6,,,,,Suzuki K; Servais EL; Rizk NP
11,"Schneider T, Reimer P, Storz K. Recurrent pleural effusion: who benefits from a tunneled pleural catheter?. Thorac Cardiovasc Surg. 2009;57.",Recurrent pleural effusion: who benefits from a tunneled pleural catheter?,Thorac Cardiovasc Surg,2009,57,,,,,Schneider T; Reimer P; Storz K
12,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Pepperell J; Rehal S
13,"Bhatnagar R, Piotrowska H, Laskawiec-Szkonter M. Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial. JAMA. 2020;323.",Effect of thoracoscopic talc poudrage vs talc slurry via chest tube on pleurodesis failure rate among patients with malignant pleural effusions: a randomized clinical trial,JAMA,2020,323,,,,,Bhatnagar R; Piotrowska H; Laskawiec-Szkonter M
14,"Chaddha U, Agrawal A, Bhavani SV. Thoracic ultrasound as a predictor of pleurodesis success at the time of indwelling pleural catheter removal. Respirology. 2020;26.",Thoracic ultrasound as a predictor of pleurodesis success at the time of indwelling pleural catheter removal,Respirology,2020,26,,,,,Chaddha U; Agrawal A; Bhavani SV
15,"Verma A, Phua CK, Sim WY. Pleural LDH as a prognostic marker in adenocarcinoma lung with malignant pleural effusion. Medicine. 2016;95:3996.",Pleural LDH as a prognostic marker in adenocarcinoma lung with malignant pleural effusion,Medicine,2016,95,,3996,,,Verma A; Phua CK; Sim WY
16,"Heffner JE, Nietert PJ, Barbieri C. Pleural fluid pH as a predictor of pleurodesis failure: analysis of primary data. Chest. 2000;117.",Pleural fluid pH as a predictor of pleurodesis failure: analysis of primary data,Chest,2000,117,,,,,Heffner JE; Nietert PJ; Barbieri C
17,"Fitzgerald DB, Sidhu C, Budgeon C. Australasian Malignant PLeural Effusion (AMPLE)-3 trial: study protocol for a multi-centre randomised study comparing indwelling pleural catheter ( ± talc pleurodesis) versus video-assisted thoracoscopic surgery for management of malignant pleural effusion. Trials. 2022;23:530.",Australasian Malignant PLeural Effusion (AMPLE)-3 trial: study protocol for a multi-centre randomised study comparing indwelling pleural catheter ( ± talc pleurodesis) versus video-assisted thoracoscopic surgery for management of malignant pleural effusion,Trials,2022,23,,530,,,Fitzgerald DB; Sidhu C; Budgeon C
