#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent Trends in the Identification of Incidental Pulmonary Nodules. Am J Respir Crit Care Med. 2015;192.",Recent Trends in the Identification of Incidental Pulmonary Nodules,Am J Respir Crit Care Med,2015,192,,,,,Gould MK; Tang T; Liu IL
2,"Callister ME, Baldwin DR, Akram AR. British Thoracic Society guidelines for the investigation and management of pulmonary nodules. Thorax. 2015;70(suppl 2).",British Thoracic Society guidelines for the investigation and management of pulmonary nodules,Thorax,2015,70,suppl 2,,,,Callister ME; Baldwin DR; Akram AR
3,"Brunelli A, Charloux A, Bolliger CT. ERS/ESTS clinical guidelines on fitness for radical therapy in lung cancer patients (surgery and chemo-radiotherapy). Eur Respir J. 2009;34.",ERS/ESTS clinical guidelines on fitness for radical therapy in lung cancer patients (surgery and chemo-radiotherapy),Eur Respir J,2009,34,,,,,Brunelli A; Charloux A; Bolliger CT
4, Non-small cell lung cancer. Non-small cell lung cancer. 2021;2.,Non-small cell lung cancer,Non-small cell lung cancer,2021,2,,,,,
5,"Palussiere J, Catena V, Lagarde P. Primary tumors of the lung: should we consider thermal ablation as a valid therapeutic option?. Int J Hyperthermia. 2019;36.",Primary tumors of the lung: should we consider thermal ablation as a valid therapeutic option?,Int J Hyperthermia,2019,36,,,,,Palussiere J; Catena V; Lagarde P
6,"Jiang B, Mcclure MA, Chen T. Efficacy and safety of thermal ablation of lung malignancies: A Network meta-analysis. Ann Thorac Med. 2018;13.",Efficacy and safety of thermal ablation of lung malignancies: A Network meta-analysis,Ann Thorac Med,2018,13,,,,,Jiang B; Mcclure MA; Chen T
7,"Yuan Z, Wang Y, Zhang J. A meta-analysis of clinical outcomes after radiofrequency ablation and microwave ablation for lung cancer and pulmonary metastases. J Am Coll Radiol. 2019;16.",A meta-analysis of clinical outcomes after radiofrequency ablation and microwave ablation for lung cancer and pulmonary metastases,J Am Coll Radiol,2019,16,,,,,Yuan Z; Wang Y; Zhang J
8,"Koizumi T, Tsushima K, Tanabe T. Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer. Respiration. 2015;90.",Bronchoscopy-guided cooled radiofrequency ablation as a novel intervention therapy for peripheral lung cancer,Respiration,2015,90,,,,,Koizumi T; Tsushima K; Tanabe T
9,"Yu P, Chu CM, Lau R. Hybrid theater facilitates lung-preserving multimodal treatment for multiple pulmonary metastases. Ann Thorac Surg. 2021;111.",Hybrid theater facilitates lung-preserving multimodal treatment for multiple pulmonary metastases,Ann Thorac Surg,2021,111,,,,,Yu P; Chu CM; Lau R
10,"Qu R, Tu D, Hu S. Electromagnetic navigation bronchoscopy-guided microwave ablation combined with uniportal video-assisted thoracoscopic surgery for multiple ground glass opacities. Ann Thorac Surg. 2022;113.",Electromagnetic navigation bronchoscopy-guided microwave ablation combined with uniportal video-assisted thoracoscopic surgery for multiple ground glass opacities,Ann Thorac Surg,2022,113,,,,,Qu R; Tu D; Hu S
