file,status,changed_fields,error
out/hardened/3D printing for airway disease.json,skip_complete,,
out/hardened/A Multicenter RCT of Zephyr Endobronchial Valv.json,skip_complete,,
out/hardened/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,dry-run,doi;issn;journal;pages;url,
out/hardened/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,skip_complete,,
out/hardened/A Systematic Review and Meta-Analysis Comparin.json,skip_complete,,
out/hardened/A predictive model for respiratorye events after rigid..json,skip_complete,,
out/hardened/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,skip_complete,,
out/hardened/A prospective analysis of high-dose-rate endob.json,skip_complete,,
"out/hardened/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json",skip_complete,,
out/hardened/A randomized study of endobronchial valves for.json,skip_complete,,
out/hardened/AMPLE2.json,skip_complete,,
out/hardened/ASAP trial.json,skip_complete,,
out/hardened/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,skip_complete,,
out/hardened/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,skip_complete,,
out/hardened/Advanced Diagnostic and Therapeutic Bronchoscopy .json,skip_complete,,
out/hardened/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,skip_complete,,
out/hardened/Advanced in Treatment of PPNs.json,skip_complete,,
out/hardened/Advances in IP.json,skip_complete,,
out/hardened/Advances in Interventional Pulmonology 2018.json,skip_complete,,
out/hardened/Advances in pleuroscopy.json,skip_complete,,
out/hardened/Advantages of US in percutaneous dilatational.json,skip_complete,,
out/hardened/Aggressive versus symptom-guided drainage of m.json,skip_complete,,
out/hardened/Airway spray cryotherapy initial outcomes from.json,skip_complete,,
out/hardened/Airway stabilization with silicone stents for.json,skip_complete,,
out/hardened/Airway stents.json,skip_complete,,
out/hardened/Aldaghlawi-2020-A Systematic Review of Digital.json,skip_complete,,
out/hardened/Alsunaid-2021-Wound care management_ tracheost.json,skip_complete,,
out/hardened/Ambulatory management of primary spontaneous p.json,skip_complete,,
out/hardened/American Brachytherapy Society consensus guide.json,skip_complete,,
out/hardened/An updated review in percutaneous tracheostomy.json,skip_complete,,
out/hardened/Andriolo-2015-Early versus late tracheostomy f.json,skip_complete,,
out/hardened/Anesthesia and Upper and Lower Airway.json,skip_complete,,
out/hardened/Anesthesia for bronchoscopy and update 2024.json,skip_complete,,
out/hardened/Anesthetic considerations for bronchoscopic procedures.json,skip_complete,,
out/hardened/Angel-2020-Novel Percutaneous Tracheostomy for.json,skip_complete,,
out/hardened/Approach to hemoptysis in the modern era.json,skip_complete,,
out/hardened/Arnold-2018-Investigating unilateral pleural e.json,skip_complete,,
"out/hardened/Audit of the autoantibody test, EarlyCDT.json",skip_complete,,
out/hardened/Awab-2017-Whole lung lavage-technical details.json,skip_complete,,
out/hardened/BLVR comprehensive 2025.json,skip_complete,,
out/hardened/BLVR with endobronchial valves for patients wi.json,skip_complete,,
out/hardened/BTS guideline for diagnostic flexible bronchoscopy in adults.json,skip_complete,,
out/hardened/BTS pleural guidelines2.json,skip_complete,,
"out/hardened/Basic Bronchoscopy Technology, Techniques, and Professional Fees.json",skip_complete,,
out/hardened/Basic and advanced pleural procedures coding and professional fees update for pulmonologists.json,skip_complete,,
out/hardened/Bhatnagar-2018-Outpatient Talc Administration.json,skip_complete,,
out/hardened/Bhatnagar-2020-Effect of Thoracoscopic Talc Po.json,skip_complete,,
out/hardened/Bhora-2016-Treatment of Benign Tracheal Stenos.json,skip_complete,,
out/hardened/Bibby-2018-ERS_EACTS statement on the manageme.json,skip_complete,,
out/hardened/Bintcliffe-2016-The management of benign non-i.json,skip_complete,,
out/hardened/Biopsy of peripheral lung nodules utilizing cone beam w wo TB access tool.json,skip_complete,,
out/hardened/Brass-2016-Percutaneous techniques versus surg.json,skip_complete,,
out/hardened/Breathlessness Predicts Survival in Patients W.json,skip_complete,,
out/hardened/Bronchial Thermoplasty in Patients With Severe.json,skip_complete,,
out/hardened/Bronchoscope-Guided Percutaneous Endoscopic Ga.json,skip_complete,,
out/hardened/Bronchoscopes of the Twenty-First Century.json,skip_complete,,
out/hardened/Bronchoscopic Techniques Used in the Diagnosis and Staging of Lung Cancer.json,skip_complete,,
out/hardened/Bronchoscopic lung volume reduction with endob.json,skip_complete,,
out/hardened/Bronchoscopic transparenchymal nodule access (BTPNA).json,skip_complete,,
out/hardened/Bronchoscopy Education An Experiential Learning Theory Perspective.json,skip_complete,,
out/hardened/CHEST CAO.json,skip_complete,,
out/hardened/COLDICE study.json,skip_complete,,
out/hardened/Central Airway Obstruction Benign Strictures.json,skip_complete,,
out/hardened/Chan-2021-Transbronchial microwave ablation of.json,skip_complete,,
out/hardened/Chemical pleurodesis.json,skip_complete,,
out/hardened/Chen-2018-Photodynamic therapeutic ablation fo.json,skip_complete,,
out/hardened/Cheng-2016-Three-dimensional Printing and 3D S.json,skip_complete,,
out/hardened/Chhatre-2021-Survival Outcomes with Photodynam.json,skip_complete,,
out/hardened/Clinical Success Stenting Distal Bronchi.json,skip_complete,,
out/hardened/Clinical Utility of a Bronchial Genomic Classi.json,skip_complete,,
out/hardened/Clinical and quality of life outcomes vs. exte.json,dry-run,doi;issn;issue;journal;pages;url;volume,
out/hardened/Clinical trial of photodynamic therapy for per.json,skip_complete,,
"out/hardened/Combined EBUS  EUS for the diagnosis and staging of lung cancer ESGE, ERS, ESTS Guideline.json",skip_complete,,
out/hardened/Combined Nd-YAG laser HDR brachytherapy versus.json,skip_complete,,
out/hardened/Community hospital experience using ENB integrating tidal volume computed tomography mapping.json,skip_complete,,
out/hardened/Comparing the Diagnostic Performance of Lung Ultrasonography and Chest Radiography for Detecting Pneumothorax.json,skip_complete,,
out/hardened/Comparision of valves.json,skip_complete,,
out/hardened/Comparison of HFNC  and Conventional O2 during bronc.json,skip_complete,,
out/hardened/Competency-based medical education in interventional pulmonology_ current state and future opportunities.json,skip_complete,,
out/hardened/Complete unilateral vs partial bilateral BLVR.json,skip_complete,,
out/hardened/Complications Following Therapeutic B.json,skip_complete,,
out/hardened/Complications and discomfort of bronchoscopy a systematic review.json,skip_complete,,
out/hardened/Complications of cricothyroidotomy versus tracheostomy.json,skip_complete,,
"out/hardened/Complications, and practice patterns of EBUS  AQuIRE registry.json",skip_complete,,
out/hardened/Comprehensive Review of Chest Tube Management_A Review.json,skip_complete,,
out/hardened/Concurrent Intrapleural Instillation of Tissue.json,skip_complete,,
out/hardened/Cone beam CT imaging for bronchoscopy a technical review.json,skip_complete,,
out/hardened/Cone-beam computed tomography-guided electromagnetic navigation for peripheral lung nodules.json,skip_complete,,
out/hardened/Cone-beam computed tomography-guided shape-sensing robot.json,skip_complete,,
out/hardened/Conservative versus Interventional Treatment f.json,skip_complete,,
out/hardened/Conservative versus Interventional Treatment for spont PTX.json,skip_complete,,
out/hardened/Coping with airway emergencies_.json,skip_complete,,
out/hardened/Covid-19 impact on interventional pulmonology training.json,skip_complete,,
out/hardened/Criner-2019-Improving Lung Function in Severe.json,skip_complete,,
out/hardened/Cryosurgery for malignant endobronchial tumors.json,skip_complete,,
out/hardened/Current practice in management of exudative pleural effusions AABIP survey.json,skip_complete,,
out/hardened/Cyrany-2016-Buried bumper syndrome_ A complica.json,skip_complete,,
out/hardened/DY and Synergy of Needle and Forceps w ENB.json,skip_complete,,
out/hardened/Database to Inform Revisions.json,skip_complete,,
out/hardened/Davies-2012-Effect of an indwelling pleural ca.json,dry-run,doi;issn;issue;journal;pages;url;volume;year_norm,
out/hardened/Deslee-2014-Lung volume reduction coil treatme.json,skip_complete,,
out/hardened/Developing an IP Service in a Community Practice.json,skip_complete,,
out/hardened/Development of a Tool to Assess Basic Competen.json,skip_complete,,
out/hardened/Dexmedetomidine-fentanyl versus propofol-fentanyl.json,skip_complete,,
out/hardened/Diagnostic Yield and Bleeding Complications.json,skip_complete,,
out/hardened/Diagnostic accuracy of transbronchial lung cry.json,skip_complete,,
out/hardened/Diagnostic flexible bronchoscopy and accessory techniques.json,skip_complete,,
out/hardened/Diagnostic value of EBUS elastography for the differentiation.json,skip_complete,,
out/hardened/Diagnostic yield and safety of navigation bronchoscopy.json,skip_complete,,
out/hardened/Differentiating malignant and benign nodes with elastography.json,skip_complete,,
out/hardened/Documentation Tips for Pulmonary.json,skip_complete,,
out/hardened/Dransfield-2020-Effect of Zephyr Endobronchial.json,skip_complete,,
out/hardened/Dresler-2005-Phase III intergroup study of tal.json,skip_complete,,
out/hardened/EBUS  vs conventional TBNA  in the diagnosis of sarcoidosis.json,skip_complete,,
