file,status,match_method,match_confidence,changed_fields,doi_json,doi_zotero,doi_conflict,pdf_basename,title_norm,error
out/batch_processed/3D printing for airway disease.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.21037/amj.2019.01.05,,Alraiyes et al. - 2019 - 3D printing for airway disease.pdf,,
out/batch_processed/A Multicenter RCT of Zephyr Endobronchial Valv.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201803-0590oc,,Criner et al. - 2018 - A Multicenter Randomized Controlled Trial of Zephyr Endobronchial Valve Treatment in Heterogeneous E.pdf,,
out/batch_processed/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,changed,title_exact,1.0,year_norm;authors;abstract;volume;issue,,,,Gildea et al. - 2008 - A Prospective Multicenter Trial of a Self-expanding Hybrid Stent in Malignant Airway Obstruction.pdf,,
out/batch_processed/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,changed,title_exact,1.0,year_norm;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.15-0022,,Kaur et al. - 2015 - A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique for Topical Anesthesia Du.pdf,,
out/batch_processed/A Systematic Review and Meta-Analysis Comparin.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.chest.2018.01.048,,Chang et al. - 2018 - A Systematic Review and Meta-Analysis Comparing Pigtail Catheter and Chest Tube as the Initial Treat.pdf,,
out/batch_processed/A predictive model for respiratorye events after rigid..json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.3390/jcm12175552,,Yi et al. - 2023 - A Predictive Model of Major Postoperative Respiratory Adverse Events in Pediatric Patients Undergoin.pdf,,
out/batch_processed/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.jtcvs.2011.08.037,,Yasufuku et al. - 2011 - A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration c.pdf,,
out/batch_processed/A prospective analysis of high-dose-rate endob.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.brachy.2015.04.005,,Goldberg et al. - 2015 - A prospective analysis of high-dose-rate endobronchial brachytherapy in the palliation of obstructiv.pdf,,
"out/batch_processed/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json",changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.cllc.2019.02.019,,"Wolters et al. - 2019 - A Prospective, Randomized Trial for the Comparison of 19-G and 22-G Endobronchial Ultrasound-Guided.pdf",,
out/batch_processed/A randomized study of endobronchial valves for.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1056/nejmoa0900928,,Sciurba et al. - 2010 - A Randomized Study of Endobronchial Valves for Advanced Emphysema.pdf,,
out/batch_processed/AMPLE2.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/s2213-2600(18)30288-1,,Muruganandan et al. - 2018 - Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural cathe.pdf,,
out/batch_processed/ASAP trial.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1164/rccm.201607-1404oc,,Wahidi et al. - 2017 - Randomized Trial of Pleural Fluid Drainage Frequency in Patients with Malignant Pleural Effusions. T.pdf,,
out/batch_processed/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2024.08.056,,Gilbert et al. - 2025 - Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples.pdf,,
out/batch_processed/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1136/jclinpath-2021-207597,,Faber et al. - 2022 - Adequacy of small biopsy and cytology specimens for comprehensive genomic profiling of patients with.pdf,,
out/batch_processed/Advanced Diagnostic and Therapeutic Bronchoscopy .json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2021.02.008,,Desai et al. - 2021 - Advanced Diagnostic and Therapeutic Bronchoscopy.pdf,,
out/batch_processed/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.chest.2021.02.008,,Desai et al. - 2021 - Advanced Diagnostic and Therapeutic Bronchoscopy.pdf,,
out/batch_processed/Advanced in Treatment of PPNs.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1159/000535824,,Zhang et al. - 2024 - Advances in the Treatment of Pulmonary Nodules.pdf,,
out/batch_processed/Advances in IP.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2017.11.016,,Moore et al. - 2018 - Advances in Interventional Pulmonology.pdf,,
out/batch_processed/Advances in Interventional Pulmonology 2018.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.ccm.2017.11.016,,Moore et al. - 2018 - Advances in Interventional Pulmonology.pdf,,
out/batch_processed/Advances in pleuroscopy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1111/crj.12597,,Anevlavis and Froudarakis - 2018 - Advances in pleuroscopy.pdf,,
out/batch_processed/Advantages of US in percutaneous dilatational.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1148/radiol.14140088,,Yavuz et al. - 2014 - Advantages of US in Percutaneous Dilatational Tracheostomy Randomized Controlled Trial and Review o.pdf,,
out/batch_processed/Aggressive versus symptom-guided drainage of m.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/s2213-2600(18)30288-1,,Muruganandan et al. - 2018 - Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural cathe.pdf,,
out/batch_processed/Airway spray cryotherapy initial outcomes from.json,changed,title_exact,1.0,year_norm;doi;journal;volume;issue;pages;issn;url,,10.1016/j.athoracsur.2012.01.112,,Finley et al. - 2012 - Airway Spray Cryotherapy Initial Outcomes From a Multiinstitutional Registry.pdf,,
out/batch_processed/Airway stabilization with silicone stents for.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1378/chest.06-2708,,Ernst et al. - 2007 - Airway Stabilization With Silicone Stents for Treating Adult Tracheobronchomalacia.pdf,,
out/batch_processed/Airway stents.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.21037/acs.2018.03.08,,Folch and Keyes - 2018 - Airway stents.pdf,,
out/batch_processed/Aldaghlawi-2020-A Systematic Review of Digital.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.chest.2019.11.046,,Aldaghlawi et al. - 2020 - A Systematic Review of Digital vs Analog Drainage for Air Leak After Surgical Resection or Spontaneo.pdf,,
out/batch_processed/Alsunaid-2021-Wound care management_ tracheost.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.21037/jtd-2019-ipicu-13,,Alsunaid et al. - 2021 - Wound care management tracheostomy and gastrostomy.pdf,,
out/batch_processed/Ambulatory management of primary spontaneous p.json,changed,title_exact,1.0,year_norm;authors;doi;journal;volume;issue;pages;issn;url,,10.1016/s0140-6736(20)31043-6,,"Hallifax et al. - 2020 - Ambulatory management of primary spontaneous pneumothorax an open-label, randomised controlled tria.pdf",,
out/batch_processed/American Brachytherapy Society consensus guide.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;pages;issn;url,,10.1016/j.brachy.2015.09.006,,Stewart et al. - 2016 - American Brachytherapy Society consensus guidelines for thoracic brachytherapy for lung cancer.pdf,,
out/batch_processed/An updated review in percutaneous tracheostomy.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;pages;issn;url,,10.21037/amj-23-143,,Moore et al. - 2024 - An updated review in percutaneous tracheostomy.pdf,,
out/batch_processed/Andriolo-2015-Early versus late tracheostomy f.json,changed,title_exact,1.0,year_norm;authors;doi;journal;abstract;volume;issue;issn;url,,10.1002/14651858.cd007271.pub3,,Andriolo et al. - 2015 - Early versus late tracheostomy for critically ill patients.pdf,,
