Third-Party Product,Compatibility
Twist-Seal Sterile Sample Bags,VWR Model 89085-537
Captura® Disposable Bronchoscope Biopsy Forceps,"Cook Medical G53006 - 2mmForceps, Non-spiked"
Silicone-based lubricant,Any
Water-based lubricant,Any
Bone wax,Any
Bronchoscope,Up to 7.0 mmstandard bronchoscope
ET tube,6.5-9 mmID(inner diameter)
Fiducial Marker,0.75-1.15 mm(diameter)
Cytology Brush,Must be compatible with a 2 mmtool channel and have minimum length of 100 cm
"Bronchial Balloon (for example, endobron- chial blocker)",Must be compatible with a 2 mmtool channel and have minimum length of 100 cm
Bronchoalveolar Lavage Kit,Must be compatible with standard suction tubing ISO 8836
Radial Endobronchial Ultrasound,Must be compatible with a 2 mmtool channel and have minimum length of 100 cm
Automated Flusher,Must be compatible with ISO 80369-7 Luer connection
