Symbol or Icon,Description
,Indicates contains or presence of natural rubber latex
,Indicates peel to open
,Dispose of in accordance with local regulations-particularly applies to electronic components.
,In conformance with Regulation (EU) 2017/745 European Medical Devices Regulation (MDR)
,Indicates the authorized representative in the European Community
,Indicates the authorized representative in Switzerland
,Indicates the Flush Port Symbol
,Indicates the Leak Test Port
,Indicates the Serial Port Connection
DVI,Indicates the DVI video port
Composite,Indicates the Composite video ports
S-Video,Indicates the S-Video port
SDI,Indicates the SDI video port
,Indicates the top monitor
