Diagnoses,Median (IQR) or Frequency (%) n =120
Malignancy,56 (46.7%)
"Adenocarcinoma, lung",34 (28.3%)
"Squamous cell carcinoma, lung",15 (12.5%)
Lymphoma/lymphoproliferative disorder,3 (2.5%)
"Small cell carcinoma, lung",1 (0.8%)
Renal cell carcinoma,1 (0.8%)
Endometrial,1 (0.8%)
Sarcoma,1 (0.8%)
Benign,52 (43.3%)
Granulomas,17 (14.2%)
Organizing pneumonia,9 (7.5%)
Inflammation with or without necrosis,9 (7.5%)
Fibrosis/fibroelastic scar,8 (6.7%)
Infection,7 (5.8%)
Aspergillus,3 (2.5%)
Coccidioidomycosis,3 (2.5%)
Streptococcus anginosus,1 (0.8%)
Hamartoma,2 (1.7%)
Non-Diagnostic,12 (10%)
"Yield per tool, diagnostic cases",n =108
Needle alone,0 (0%)
Forceps alone,2 (1.9%)
Cryobiopsy alone,19 (17.6%)
Needle+forceps,1 (0.9%)
Needle+cryobiopsy,5 (4.6%)
Forceps+cryobiopsy,53 (49.1%)
Needle+forceps+cryobiopsy,28 (25.9%)
Molecular analysis,n =49
Local IHC/FISH adequacy,49 (100%)
Needle,2 (100%)
Forceps,18 (100%)
Cryobiopsy,29 (100%)
NGS adequacy,45 (81.6%)
Needle,1 (50%)
Forceps,15 (83.3%)
Cryobiopsy,29 (100%)
